,naive_TH,CD137pos_CD154neg_naive_TH,CD137neg_CD154pos_naive_TH,CD137pos_CD154pos_naive_TH,memory_TH,CD137pos_CD154neg_memory_TH,CD137neg_CD154pos_memory_TH,CD137pos_CD154pos_memory_TH,naive_TFH,CD137pos_CD154neg_naive_TFH,CD137neg_CD154pos_naive_TFH,CD137pos_CD154pos_naive_TFH,memory_TFH,CD137pos_CD154neg_memory_TFH,CD137neg_CD154pos_memory_TFH,CD137pos_CD154pos_memory_TFH,CD45RApos_Treg,CD137pos_CD154neg_CD45RApos_Treg,CD137neg_CD154pos_CD45RApos_Treg,CD137pos_CD154pos_CD45RApos_Treg,CD45RAneg_Treg,CD137pos_CD154neg_CD45RAneg_Treg,CD137neg_CD154pos_CD45RAneg_Treg,CD137pos_CD154pos_CD45RAneg_Treg,CD45RApos_TFR,CD137pos_CD154neg_CD45RApos_TFR,CD137neg_CD154pos_CD45RApos_TFR,CD137pos_CD154pos_CD45RApos_TFR,CD45RAneg_TFR,CD137pos_CD154neg_CD45RAneg_TFR,CD137neg_CD154pos_CD45RAneg_TFR,CD137pos_CD154pos_CD45RAneg_TFR
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H02_NC_Time_Point_0_CD4 T cells.fcs,306109,151,147,9,120510,50,53,10,11914,6,6,0,52220,23,22,5,19480,9,9,1,14690,8,7,0,3287,2,2,0,1524,1,1,0
H02_HBsAg_Time_Point_0_CD4 T cells.fcs,393965,227,162,14,149418,63,106,12,14496,15,23,0,64443,44,62,12,24426,27,11,1,17520,13,9,0,4034,16,10,1,1945,0,3,1
H03_NC_Time_Point_0_CD4 T cells.fcs,225634,109,99,13,129605,59,59,6,9312,4,5,0,23433,12,11,0,13419,7,7,0,18368,8,10,0,1576,1,1,0,834,0,0,0
H03_HBsAg_Time_Point_0_CD4 T cells.fcs,272355,197,91,15,152677,133,131,9,11355,20,4,2,29657,28,20,1,16160,18,23,0,21316,22,11,0,2068,1,4,0,1087,0,0,0
H04_NC_Time_Point_0_CD4 T cells.fcs,98265,46,47,2,214189,96,99,11,10257,6,5,0,47875,22,20,3,5032,1,1,1,20182,10,10,0,968,0,0,0,902,0,0,0
H04_HBsAg_Time_Point_0_CD4 T cells.fcs,101515,78,47,0,214023,107,167,16,10367,5,5,0,51773,51,23,3,4938,7,3,0,20117,12,23,0,1143,4,4,0,1020,0,2,0
H06_NC_Time_Point_0_CD4 T cells.fcs,162374,76,72,8,184931,83,87,3,10922,4,3,1,52833,24,24,2,5706,4,3,0,14751,7,8,0,1046,0,0,0,1157,0,0,0
H06_HBsAg_Time_Point_0_CD4 T cells.fcs,179438,110,83,6,199658,110,103,6,14742,13,8,0,57161,54,23,1,7042,1,3,1,15487,6,4,0,1286,0,5,0,1371,0,1,0
H07_NC_Time_Point_0_CD4 T cells.fcs,231706,105,100,14,155764,70,74,6,11530,6,5,0,34247,15,15,2,10885,5,5,0,11647,6,6,0,1623,1,1,0,922,0,0,0
H07_HBsAg_Time_Point_0_CD4 T cells.fcs,197546,130,72,8,131409,52,54,8,10581,12,3,2,29696,9,18,4,9258,3,2,0,9225,8,4,1,1473,1,3,0,777,0,1,1
H08_NC_Time_Point_0_CD4 T cells.fcs,226317,105,114,3,146764,70,74,0,6733,2,3,0,20703,8,8,2,10515,4,4,1,20421,11,10,0,593,0,0,0,609,0,0,0
H08_HBsAg_Time_Point_0_CD4 T cells.fcs,234828,187,118,3,149095,88,149,5,6216,9,2,0,19651,12,29,1,10716,28,19,5,19918,10,28,2,570,0,2,0,509,1,1,0
H10_NC_Time_Point_0_CD4 T cells.fcs,356525,167,159,15,82152,35,33,9,6273,2,2,1,13625,4,4,3,9397,3,3,2,9445,5,6,0,398,0,0,0,244,0,0,0
H10_HBsAg_Time_Point_0_CD4 T cells.fcs,4.53E+05,332,208,24,107732,67,41,10,7676,17,11,1,16679,4,5,1,11570,2,9,0,11364,12,5,2,594,8,1,0,318,3,0,0
H11_NC_Time_Point_0_CD4 T cells.fcs,204060,102,92,3,172899,78,76,7,7675,4,4,0,19027,10,9,0,9841,4,4,1,21231,10,10,1,750,0,0,0,586,0,0,0
H11_HBsAg_Time_Point_0_CD4 T cells.fcs,269281,138,123,3,220180,88,124,13,8092,11,6,0,22302,16,12,0,12460,6,5,0,26093,3,26,1,939,1,2,0,706,1,1,0
H13_NC_Time_Point_0_CD4 T cells.fcs,368711,176,178,4,184142,78,78,16,18136,9,9,0,43492,18,18,4,17478,9,9,0,19390,8,8,1,1001,0,0,0,714,0,0,0
H13_HBsAg_Time_Point_0_CD4 T cells.fcs,4.37E+05,319,196,5,219803,99,179,21,19103,11,8,1,49592,25,38,8,20426,15,6,2,23017,21,10,0,1199,3,1,0,841,0,3,1
H14_NC_Time_Point_0_CD4 T cells.fcs,217487,108,109,8,46195,20,19,3,3546,1,1,1,5440,2,2,1,5890,2,3,0,8314,4,4,0,193,0,0,0,124,0,0,0
H14_HBsAg_Time_Point_0_CD4 T cells.fcs,274358,248,141,22,59138,31,40,7,3980,9,5,3,6988,2,4,1,8480,7,5,0,10734,2,18,0,250,2,0,0,157,0,3,0
H17_NC_Time_Point_0_CD4 T cells.fcs,154015,75,73,1,96701,42,43,6,3259,2,2,0,11973,7,6,0,5470,2,3,0,11761,6,6,0,300,0,0,0,237,0,0,0
H17_HBsAg_Time_Point_0_CD4 T cells.fcs,214665,146,124,5,133480,81,69,7,5510,2,3,0,16342,8,7,0,6719,17,0,1,13000,14,12,0,513,3,3,0,326,0,1,0
H18_NC_Time_Point_0_CD4 T cells.fcs,142261,71,71,1,68619,30,31,3,3585,2,1,0,8912,5,4,0,4210,2,2,0,7957,4,4,0,413,0,0,0,340,0,0,0
H18_HBsAg_Time_Point_0_CD4 T cells.fcs,184345,135,99,1,88229,40,78,0,4249,10,8,0,11722,6,12,4,5317,14,2,0,9417,9,5,0,573,0,0,0,395,0,0,0
H19_NC_Time_Point_0_CD4 T cells.fcs,61621,30,29,1,63966,30,30,1,2351,1,1,0,9125,5,5,0,3545,2,2,0,8776,4,4,0,291,0,0,0,292,0,0,0
H19_HBsAg_Time_Point_0_CD4 T cells.fcs,165367,121,47,4,154039,38,153,17,6136,0,32,1,23492,7,21,0,9492,16,3,2,20106,36,21,1,1143,8,9,1,842,12,7,1
H20_NC_Time_Point_0_CD4 T cells.fcs,282831,143,141,4,153785,70,77,5,12170,8,6,0,38960,17,18,2,12050,5,6,0,16754,8,8,0,1908,1,1,0,1605,1,1,0
H20_HBsAg_Time_Point_0_CD4 T cells.fcs,206972,40,136,5,148519,42,174,3,3652,1,5,0,28963,12,30,4,7239,8,5,0,13630,6,15,0,781,1,2,0,1116,4,3,0
H21_NC_Time_Point_0_CD4 T cells.fcs,153009,74,76,2,103744,46,49,3,4309,2,2,0,15057,6,6,2,5126,2,3,0,7650,4,4,0,382,0,0,0,294,0,0,0
H21_HBsAg_Time_Point_0_CD4 T cells.fcs,216811,228,155,4,149026,89,180,1,7307,4,3,2,21751,7,20,0,6874,9,5,0,10407,5,23,0,674,0,1,0,377,5,1,0
H22_NC_Time_Point_0_CD4 T cells.fcs,4.45E+05,213,215,8,74727,33,33,3,6071,3,3,0,16624,9,8,0,12428,6,6,0,9998,5,4,0,559,0,0,0,554,0,0,0
H22_PC_Time_Point_0_CD4 T cells.fcs,81283,110,67366,365,10149,57,6706,36,1620,4,1496,17,3753,8,3086,23,7994,10,6105,1,3585,56,1437,0,782,0,537,0,1029,0,656,0
H22_HBsAg_Time_Point_0_CD4 T cells.fcs,4.38E+05,288,229,13,74390,38,29,5,8083,14,9,0,16285,11,9,0,12075,15,4,0,9080,11,17,0,605,0,0,0,579,0,1,0
H23_NC_Time_Point_0_CD4 T cells.fcs,237533,112,110,10,122836,49,54,7,5871,2,2,1,20072,8,8,2,13390,7,7,0,15706,7,7,0,1259,1,1,0,615,0,0,0
H23_HBsAg_Time_Point_0_CD4 T cells.fcs,211686,91,106,6,107679,63,84,2,5476,3,3,0,17958,9,11,1,11122,10,4,0,12780,16,11,0,1353,8,0,1,587,2,1,0
