,CD4 | Median (Comp-BV786-A),TH | Median (Comp-BV786-A),naive_TH | Median (Comp-BV786-A),memory_TH | Median (Comp-BV786-A),TFH | Median (Comp-BV786-A),naive_TFH | Median (Comp-BV786-A),memory_TFH | Median (Comp-BV786-A),Treg | Median (Comp-BV786-A),CD45RApos_Treg | Median (Comp-BV786-A),CD45RAneg_Treg | Median (Comp-BV786-A),TFR | Median (Comp-BV786-A),CD45RApos_TFR | Median (Comp-BV786-A),CD45RAneg_TFR | Median (Comp-BV786-A)
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,n/a,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",n/a,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,n/a,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,n/a,,,,,,,,,,,,
H02_NC_Time_Point_0_CD4 T cells.fcs,3312,3388,3324,3647,4241,3911,4308,1588,1641,1515,1842,1816,1895
H02_HBsAg_Time_Point_0_CD4 T cells.fcs,3672,3777,3731,3967,4666,4256,4758,1599,1648,1536,1929,1876,2031
H03_NC_Time_Point_0_CD4 T cells.fcs,3176,3295,2975,4108,3946,3744,4030,1834,1797,1861,2011,2046,1918
H03_HBsAg_Time_Point_0_CD4 T cells.fcs,3528,3679,3371,4463,4354,4116,4455,1868,1864,1872,2156,2156,2156
H04_NC_Time_Point_0_CD4 T cells.fcs,3341,3577,2806,4116,3412,3260,3448,1317,1403,1294,1505,1536,1450
H04_HBsAg_Time_Point_0_CD4 T cells.fcs,3731,4002,3192,4527,3783,3640,3817,1367,1457,1343,1567,1585,1536
H06_NC_Time_Point_0_CD4 T cells.fcs,3864,4009,3448,4733,4030,3946,4044,1790,1819,1782,2007,2023,1999
H06_HBsAg_Time_Point_0_CD4 T cells.fcs,3953,4094,3509,4861,4159,4116,4167,1779,1786,1775,2011,2015,2011
H07_NC_Time_Point_0_CD4 T cells.fcs,3418,3521,3137,4440,3843,3621,3918,1620,1623,1616,1805,1805,1816
H07_HBsAg_Time_Point_0_CD4 T cells.fcs,3577,3672,3272,4649,4058,3830,4145,1680,1677,1684,1918,1906,1952
H08_NC_Time_Point_0_CD4 T cells.fcs,3609,3797,3272,5222,4354,4145,4432,1688,1702,1677,1880,1891,1861
H08_HBsAg_Time_Point_0_CD4 T cells.fcs,3939,4123,3590,5594,4887,4624,4984,1695,1713,1684,1941,1995,1853
H10_NC_Time_Point_0_CD4 T cells.fcs,3430,3497,3394,4211,4030,3925,4072,1602,1599,1606,1779,1779,1823
H10_HBsAg_Time_Point_0_CD4 T cells.fcs,3744,3817,3718,4432,4527,4370,4600,1623,1659,1592,1891,1918,1831
H11_NC_Time_Point_0_CD4 T cells.fcs,3503,3666,3406,4101,3731,3911,3660,1775,1827,1749,2082,2151,2003
H11_HBsAg_Time_Point_0_CD4 T cells.fcs,3528,3692,3454,4108,3757,3857,3718,1727,1797,1695,1980,2007,1929
H13_NC_Time_Point_0_CD4 T cells.fcs,4286,4408,4080,5474,5356,5038,5503,1868,1922,1819,2184,2201,2160
H13_HBsAg_Time_Point_0_CD4 T cells.fcs,4196,4316,3995,5356,5317,4948,5474,1838,1880,1801,2119,2103,2143
H14_NC_Time_Point_0_CD4 T cells.fcs,3088,3148,3034,4211,4108,3817,4316,1876,1808,1929,1797,1797,1771
H14_HBsAg_Time_Point_0_CD4 T cells.fcs,3120,3181,3055,4401,4347,4116,4503,1895,1771,1995,2011,2074,1864
H17_NC_Time_Point_0_CD4 T cells.fcs,3653,3830,3718,4080,3988,4196,3925,1474,1588,1417,1760,1834,1655
H17_HBsAg_Time_Point_0_CD4 T cells.fcs,4058,4211,4065,4511,4370,4633,4278,1578,1673,1519,1902,1941,1805
H18_NC_Time_Point_0_CD4 T cells.fcs,3278,3371,2997,4699,4203,3609,4495,1688,1768,1634,1964,1891,2156
H18_HBsAg_Time_Point_0_CD4 T cells.fcs,3460,3552,3159,4975,4479,3884,4716,1691,1786,1620,2099,2123,2070
H19_NC_Time_Point_0_CD4 T cells.fcs,3666,3864,3341,4527,4424,3988,4535,1771,1842,1742,1948,1972,1918
H19_HBsAg_Time_Point_0_CD4 T cells.fcs,3737,3925,3406,4691,4543,4152,4649,1760,1834,1720,2218,2226,2205
H20_NC_Time_Point_0_CD4 T cells.fcs,3565,3647,3204,4913,4592,4101,4775,1786,1768,1801,2160,2086,2247
H20_HBsAg_Time_Point_0_CD4 T cells.fcs,3473,3534,2991,4741,4733,3803,4869,1808,1782,1819,2247,2123,2333
H21_NC_Time_Point_0_CD4 T cells.fcs,3571,3692,3347,4331,3905,3911,3905,1623,1645,1599,1887,1853,1929
H21_HBsAg_Time_Point_0_CD4 T cells.fcs,4058,4181,3764,4957,4440,4416,4448,1698,1779,1648,2035,2007,2095
H22_NC_Time_Point_0_CD4 T cells.fcs,1495,1553,1484,2168,1864,2127,1764,334,348,320,411,484,351
H22_PC_Time_Point_0_CD4 T cells.fcs,1187,1330,1330,1320,999,1430,831,521,513,545,386,388,386
H22_HBsAg_Time_Point_0_CD4 T cells.fcs,1539,1595,1519,2285,2058,2311,1933,291,308,265,409,449,386
H23_NC_Time_Point_0_CD4 T cells.fcs,4094,4293,3911,5434,4869,4362,5056,1760,1842,1691,2031,2062,1929
H23_HBsAg_Time_Point_0_CD4 T cells.fcs,4324,4519,4167,5523,5148,4551,5346,1746,1846,1648,2107,2082,2184
H24_NC_Time_Point_0_CD4 T cells.fcs,3939,3946,3540,5194,5434,4584,5877,2078,2082,2078,2398,2367,2443
H24_PC_Time_Point_0_CD4 T cells.fcs,2095,2103,2023,2380,2598,2389,2684,1588,1648,1512,1727,1706,1760
H24_HBsAg_Time_Point_0_CD4 T cells.fcs,3995,4009,3628,5289,5454,4543,5898,2111,2131,2086,2389,2394,2354
H25_NC_Time_Point_0_CD4 T cells.fcs,2867,3002,2806,4009,3634,3602,3640,1536,1508,1574,1717,1771,1695
H25_HBsAg_Time_Point_0_CD4 T cells.fcs,3071,3215,2997,4432,3946,3884,3974,1546,1512,1616,1922,1922,1922
H26_NC_Time_Point_0_CD4 T cells.fcs,4137,4416,3823,5574,4699,4362,4869,1857,1941,1823,2172,2172,2176
H26_HBsAg_Time_Point_0_CD4 T cells.fcs,4123,4432,3731,5645,4624,3995,4826,1731,1834,1695,2176,2172,2197
H28_NC_Time_Point_0_CD4 T cells.fcs,2960,3055,2857,3418,3260,3283,3255,925,956,904,1168,1162,1168
H28_HBsAg_Time_Point_0_CD4 T cells.fcs,3209,3295,3088,3679,3602,3628,3596,996,1046,968,1278,1357,1213
H29_NC_Time_Point_0_CD4 T cells.fcs,2575,2732,2172,3640,3071,3007,3093,977,935,999,1027,1080,935
H29_HBsAg_Time_Point_0_CD4 T cells.fcs,2708,2852,2251,3777,3238,3238,3243,1002,935,1036,1070,1077,1058
H30_NC_Time_Point_0_CD4 T cells.fcs,4263,4385,4065,4878,4567,4835,4503,1638,1680,1623,1831,1952,1720
H30_HBsAg_Time_Point_0_CD4 T cells.fcs,4137,4248,3939,4733,4455,4592,4424,1526,1557,1508,1706,1816,1599
H31_NC_Time_Point_0_CD4 T cells.fcs,3731,3850,3412,5138,4256,4145,4308,1606,1684,1543,1684,1706,1673
H31_PC_Time_Point_0_CD4 T cells.fcs,2603,2737,2584,3093,2960,3061,2939,1616,1471,1720,1659,1659,1655
H31_HBsAg_Time_Point_0_CD4 T cells.fcs,4065,4181,3711,5594,4575,4479,4616,1666,1746,1599,1868,1960,1790
H32_NC_Time_Point_0_CD4 T cells.fcs,4559,4775,3679,5092,4339,4527,4316,1793,1812,1786,1808,2007,1663
H32_HBsAg_Time_Point_0_CD4 T cells.fcs,4724,4940,3764,5298,4479,4567,4479,1764,1746,1768,1887,2007,1842
H33_NC_Time_Point_0_CD4 T cells.fcs,3705,3932,3406,5020,3870,3905,3857,1648,1695,1627,1775,1793,1771
H33_HBsAg_Time_Point_0_CD4 T cells.fcs,3783,4009,3479,5102,3932,3925,3932,1666,1706,1648,1846,1899,1790
H34_NC_Time_Point_0_CD4 T cells.fcs,3023,3093,2997,4058,3388,3377,3418,1976,1980,1960,2230,2243,2189
H34_HBsAg_Time_Point_0_CD4 T cells.fcs,3306,3377,3260,4600,3705,3666,3823,2062,2074,2042,2285,2285,2302
H35_NC_Time_Point_0_CD4 T cells.fcs,3153,3215,3088,3647,3454,3640,3394,1876,1864,1887,2011,2066,1952
H35_HBsAg_Time_Point_0_CD4 T cells.fcs,2965,3034,2923,3406,3318,3485,3266,1659,1641,1670,1834,1876,1823
