,CD4,TH | Median (Comp-PE-A),naive_TH | Median (Comp-PE-A),memory_TH | Median (Comp-PE-A),TFH | Median (Comp-PE-A),naive_TFH | Median (Comp-PE-A),memory_TFH | Median (Comp-PE-A),Treg | Median (Comp-PE-A),CD45RApos_Treg | Median (Comp-PE-A),CD45RAneg_Treg | Median (Comp-PE-A),TFR | Median (Comp-PE-A),CD45RApos_TFR | Median (Comp-PE-A),CD45RAneg_TFR | Median (Comp-PE-A),
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,n/a,,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,n/a,,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",n/a,,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,n/a,,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,n/a,,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,n/a,,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,n/a,,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,n/a,,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,n/a,,,,,,,,,,,,,
H02_NC_Time_Point_0_CD4 T cells.fcs,202,194,162,271,182,171,185,342,188,703,185,154,277,
H02_HBsAg_Time_Point_0_CD4 T cells.fcs,225,217,179,302,217,199,219,400,239,813,262,208,403,
H03_NC_Time_Point_0_CD4 T cells.fcs,194,174,134,242,154,182,145,635,274,1457,294,288,299,
H03_HBsAg_Time_Point_0_CD4 T cells.fcs,231,208,162,288,217,231,208,739,342,1883,440,406,501,
H04_NC_Time_Point_0_CD4 T cells.fcs,191,185,148,199,122,137,120,536,179,724,245,199,282,
H04_HBsAg_Time_Point_0_CD4 T cells.fcs,259,254,211,274,194,205,191,627,251,837,337,317,363,
H06_NC_Time_Point_0_CD4 T cells.fcs,185,179,96.8,257,128,96.8,134,653,120,1357,217,154,320,
H06_HBsAg_Time_Point_0_CD4 T cells.fcs,168,157,51.2,265,99.6,96.8,99.6,834,208,1481,302,245,354,
H07_NC_Time_Point_0_CD4 T cells.fcs,114,111,74.0,168,85.4,76.8,88.2,228,82.5,437,65.5,34.1,145,
H07_HBsAg_Time_Point_0_CD4 T cells.fcs,85.4,79.7,45.5,137,59.8,48.4,65.5,208,74.0,429,108,82.5,171,
H08_NC_Time_Point_0_CD4 T cells.fcs,157,145,111,194,99.6,91.1,102,383,137,586,111,88.2,140,
H08_HBsAg_Time_Point_0_CD4 T cells.fcs,168,154,117,214,122,131,122,466,182,718,159,140,171,
H10_NC_Time_Point_0_CD4 T cells.fcs,122,117,102,179,76.8,65.5,82.5,279,108,609,93.9,68.3,162,
H10_HBsAg_Time_Point_0_CD4 T cells.fcs,131,125,108,199,120,114,120,299,134,612,159,134,191,
H11_NC_Time_Point_0_CD4 T cells.fcs,185,174,142,205,145,182,134,498,171,865,242,228,254,
H11_HBsAg_Time_Point_0_CD4 T cells.fcs,211,199,159,242,174,165,177,513,202,883,271,288,257,
H13_NC_Time_Point_0_CD4 T cells.fcs,131,120,91.1,177,99.6,117,93.9,331,114,656,251,205,288,
H13_HBsAg_Time_Point_0_CD4 T cells.fcs,151,140,108,205,128,140,125,368,159,709,245,262,234,
H14_NC_Time_Point_0_CD4 T cells.fcs,8.54,-11.4,-42.7,145,14.2,68.3,-11.4,627,65.5,1659,248,271,174,
H14_HBsAg_Time_Point_0_CD4 T cells.fcs,59.8,37.0,8.54,171,68.3,105,48.4,724,228,1720,354,400,297,
H17_NC_Time_Point_0_CD4 T cells.fcs,182,179,162,202,137,157,131,288,137,374,194,208,182,
H17_HBsAg_Time_Point_0_CD4 T cells.fcs,211,205,177,248,188,191,185,320,191,403,251,274,231,
H18_NC_Time_Point_0_CD4 T cells.fcs,168,157,111,254,140,96.8,157,383,137,556,208,157,268,
H18_HBsAg_Time_Point_0_CD4 T cells.fcs,171,159,111,262,162,128,174,411,174,627,214,159,279,
H19_NC_Time_Point_0_CD4 T cells.fcs,214,197,120,271,157,93.9,171,553,171,877,182,108,248,
H19_HBsAg_Time_Point_0_CD4 T cells.fcs,231,211,134,297,191,131,205,597,234,984,277,234,363,
H20_NC_Time_Point_0_CD4 T cells.fcs,157,148,108,219,128,108,134,386,120,775,165,117,225,
H20_HBsAg_Time_Point_0_CD4 T cells.fcs,131,125,85.4,159,128,93.9,131,228,88.2,380,128,96.8,142,
H21_NC_Time_Point_0_CD4 T cells.fcs,185,179,117,274,140,111,148,527,159,1564,177,140,271,
H21_HBsAg_Time_Point_0_CD4 T cells.fcs,211,202,131,314,165,125,179,615,202,1831,274,228,423,
H22_NC_Time_Point_0_CD4 T cells.fcs,171,162,148,245,154,137,159,409,202,1236,297,262,308,
H22_PC_Time_Point_0_CD4 T cells.fcs,239,188,154,600,328,305,340,680,472,2272,928,1049,843,
H22_HBsAg_Time_Point_0_CD4 T cells.fcs,165,151,134,265,174,182,171,539,277,1461,463,409,513,
H23_NC_Time_Point_0_CD4 T cells.fcs,214,205,162,288,179,140,191,414,177,889,194,174,239,
H23_HBsAg_Time_Point_0_CD4 T cells.fcs,171,157,117,239,145,105,154,446,171,965,265,225,397,
H24_NC_Time_Point_0_CD4 T cells.fcs,117,114,65.5,228,68.3,76.8,62.6,314,79.7,798,131,142,85.4,
H24_PC_Time_Point_0_CD4 T cells.fcs,513,437,328,1118,1036,984,1052,2277,775,7739,2913,3272,2757,
H24_HBsAg_Time_Point_0_CD4 T cells.fcs,137,131,82.5,242,88.2,68.3,96.8,345,122,810,168,188,99.6,
H25_NC_Time_Point_0_CD4 T cells.fcs,120,111,85.4,185,85.4,68.3,85.4,251,117,533,108,99.6,117,
H25_HBsAg_Time_Point_0_CD4 T cells.fcs,125,111,82.5,205,102,93.9,102,302,179,603,219,237,202,
H26_NC_Time_Point_0_CD4 T cells.fcs,182,165,122,222,137,154,131,697,159,1216,259,228,328,
H26_HBsAg_Time_Point_0_CD4 T cells.fcs,225,217,179,254,199,194,199,594,219,1086,268,245,328,
H28_NC_Time_Point_0_CD4 T cells.fcs,197,191,162,242,174,140,182,386,162,565,248,222,279,
H28_HBsAg_Time_Point_0_CD4 T cells.fcs,214,208,165,271,177,148,182,440,219,632,285,245,328,
H29_NC_Time_Point_0_CD4 T cells.fcs,211,197,145,251,159,151,162,665,271,1014,191,128,251,
H29_HBsAg_Time_Point_0_CD4 T cells.fcs,208,191,134,251,162,171,159,763,351,1159,285,254,348,
H30_NC_Time_Point_0_CD4 T cells.fcs,137,131,71.2,205,85.4,62.6,91.1,536,93.9,999,142,142,142,
H30_HBsAg_Time_Point_0_CD4 T cells.fcs,74.0,65.5,5.69,145,31.3,14.2,34.1,588,59.8,1027,131,102,157,
H31_NC_Time_Point_0_CD4 T cells.fcs,62.6,51.2,-5.69,162,56.9,65.5,51.2,279,0,612,142,108,168,
H31_PC_Time_Point_0_CD4 T cells.fcs,380,308,145,931,490,357,524,1670,609,3497,1444,1307,1515,
H31_HBsAg_Time_Point_0_CD4 T cells.fcs,65.5,56.9,2.85,157,54.1,59.8,51.2,291,62.6,568,148,120,219,
H32_NC_Time_Point_0_CD4 T cells.fcs,131,131,19.9,154,82.5,197,76.8,469,17.1,635,185,205,162,
H32_HBsAg_Time_Point_0_CD4 T cells.fcs,148,145,31.3,171,102,219,96.8,588,137,775,282,274,288,
H33_NC_Time_Point_0_CD4 T cells.fcs,79.7,68.3,11.4,140,48.4,42.7,48.4,305,37.0,504,91.1,45.5,114,
H33_HBsAg_Time_Point_0_CD4 T cells.fcs,114,105,51.2,171,88.2,68.3,91.1,325,76.8,527,174,122,208,
H34_NC_Time_Point_0_CD4 T cells.fcs,148,134,117,222,102,102,102,490,271,1474,197,234,88.2,
H34_HBsAg_Time_Point_0_CD4 T cells.fcs,140,122,105,211,93.9,93.9,93.9,556,311,1808,334,325,354,
H35_NC_Time_Point_0_CD4 T cells.fcs,91.1,82.5,54.1,154,59.8,65.5,54.1,420,96.8,727,125,93.9,165,
H35_HBsAg_Time_Point_0_CD4 T cells.fcs,117,105,82.5,165,85.4,102,79.7,400,134,656,128,99.6,154,
H36_NC_Time_Point_0_CD4 T cells.fcs,85.4,79.7,68.3,131,19.9,42.7,2.85,197,59.8,591,154,179,74.0,
H36_PC_Time_Point_0_CD4 T cells.fcs,461,342,259,1146,763,697,792,2066,1149,4440,1757,1713,1793,
H36_HBsAg_Time_Point_0_CD4 T cells.fcs,99.6,93.9,82.5,151,45.5,59.8,37.0,222,85.4,615,157,174,105,
H38_NC_Time_Point_0_CD4 T cells.fcs,151,145,111,197,120,125,117,423,131,730,159,140,165,
H38_HBsAg_Time_Point_0_CD4 T cells.fcs,117,114,74.0,177,82.5,82.5,82.5,440,131,837,199,142,305,
H39_NC_Time_Point_0_CD4 T cells.fcs,125,114,82.5,234,114,142,88.2,391,105,880,274,257,320,
