,CD4,CD45RApos | Count,CD45RAneg | Count,CXCR5pos | Count,CXCR5neg | Count,CD127neg_CD25neg | Count,CD127neg_CD25pos | Count,CD127pos_CD25neg | Count,CD137neg_CD154pos | Count,CD137pos_CD154pos | Count,CD137pos_CD154neg | Count,CD127neg_pos_CD25neg | Count,CD45RAneg_CD127neg_pos_CD25neg | Count,CD45RApos_CD127neg_pos_CD25neg | Count,CD45RAneg_CD127neg_CD25pos | Count,CD45RApos_CD127neg_CD25pos | Count,
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",50000,,,,,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,49500,,,,,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
H02_NC_Time_Point_0_CD4 T cells.fcs,5.34E5,342317,191201,69639,4.64E5,164558,38981,328877,226,26.0,243,4.91E5,170669,316055,16214,22767,
H03_NC_Time_Point_0_CD4 T cells.fcs,4.25E5,250989,173954,35477,389466,136496,34197,251488,199,7.00,201,387984,152047,234444,19202,14995,
H04_NC_Time_Point_0_CD4 T cells.fcs,399824,115042,284782,60320,339504,102594,27084,267992,182,12.0,188,370586,260223,107633,21084,6000,
H06_NC_Time_Point_0_CD4 T cells.fcs,4.37E5,180724,255843,66357,370210,88922,22660,322138,199,18.0,193,4.11E5,239030,173972,15909,6752,
H07_NC_Time_Point_0_CD4 T cells.fcs,4.60E5,256445,203599,48549,4.11E5,122779,25077,310468,202,29.0,191,4.33E5,190011,243236,12569,12509,
H08_NC_Time_Point_0_CD4 T cells.fcs,4.36E5,244905,190608,28831,4.07E5,102131,32138,298386,207,10.0,202,4.01E5,167466,233051,21030,11108,
H10_NC_Time_Point_0_CD4 T cells.fcs,4.79E5,373286,106084,20637,4.59E5,120914,19484,337661,210,35.0,206,4.59E5,95777,362798,9689,9795,
H11_NC_Time_Point_0_CD4 T cells.fcs,4.39E5,223104,215647,28271,4.10E5,111609,32408,292052,202,24.0,188,4.04E5,191764,211579,21816,10591,
H13_NC_Time_Point_0_CD4 T cells.fcs,6.60E5,4.09E5,250890,64195,5.96E5,105809,38583,5.09E5,291,38.0,296,6.14E5,227628,388709,20104,18479,
H14_NC_Time_Point_0_CD4 T cells.fcs,289269,228182,61087,9362,279907,104113,14521,168555,132,12.0,136,272668,49860,218285,8439,6083,
