,CD137pos_CD154neg_memory_TH | Count,CD137pos_CD154neg_memory_TFH | Count,CD137pos_CD154neg_naive_TH | Count,CD137pos_CD154neg_naive_TFH | Count,CD137pos_CD154neg_CD127neg_CD25neg_memory_TH | Count,CD137pos_CD154neg_CD127pos_CD25neg_memory_TH | Count,CD137pos_CD154neg_CD127neg_CD25neg_naive_TH | Count,CD137pos_CD154neg_CD127pos_CD25neg_naive_TH | Count,CD137pos_CD154neg_CD45RAneg_Treg | Count,CD137pos_CD154neg_CD45RAneg_TFR | Count,CD137pos_CD154neg_CD45RApos_Treg | Count,CD137pos_CD154neg_CD45RApos_TFR | Count,
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,,,,,,,,,,,,,
H02_NC_Time_Point_0_CD4 T cells.fcs,19.0,7.00,18.0,1.00,7.00,12.0,7.00,11.0,130,10.0,13.0,0,
H03_NC_Time_Point_0_CD4 T cells.fcs,32.0,5.00,42.0,3.00,6.00,26.0,9.00,33.0,456,11.0,29.0,3.00,
H04_NC_Time_Point_0_CD4 T cells.fcs,24.0,4.00,7.00,3.00,7.00,17.0,6.00,1.00,133,7.00,2.00,0,
H06_NC_Time_Point_0_CD4 T cells.fcs,113,15.0,35.0,4.00,25.0,88.0,4.00,31.0,290,13.0,8.00,5.00,
H07_NC_Time_Point_0_CD4 T cells.fcs,14.0,9.00,18.0,3.00,0,14.0,1.00,17.0,38.0,4.00,8.00,0,
H08_NC_Time_Point_0_CD4 T cells.fcs,2.00,1.00,8.00,0,1.00,1.00,1.00,7.00,32.0,0,0,1.00,
H10_NC_Time_Point_0_CD4 T cells.fcs,8.00,2.00,22.0,3.00,1.00,7.00,9.00,13.0,58.0,1.00,9.00,0,
H11_NC_Time_Point_0_CD4 T cells.fcs,47.0,1.00,19.0,1.00,19.0,28.0,4.00,15.0,120,4.00,6.00,2.00,
H13_NC_Time_Point_0_CD4 T cells.fcs,12.0,2.00,23.0,5.00,1.00,11.0,3.00,20.0,75.0,8.00,13.0,2.00,
H14_NC_Time_Point_0_CD4 T cells.fcs,3.00,1.00,27.0,1.00,0,3.00,7.00,20.0,69.0,1.00,12.0,1.00,
H17_NC_Time_Point_0_CD4 T cells.fcs,12.0,1.00,11.0,3.00,1.00,11.0,2.00,9.00,18.0,0,1.00,0,
H18_NC_Time_Point_0_CD4 T cells.fcs,13.0,3.00,10.0,1.00,3.00,10.0,2.00,8.00,19.0,1.00,3.00,1.00,
H19_NC_Time_Point_0_CD4 T cells.fcs,33.0,3.00,7.00,2.00,5.00,28.0,1.00,6.00,30.0,1.00,1.00,0,
H20_NC_Time_Point_0_CD4 T cells.fcs,23.0,0,35.0,8.00,8.00,15.0,5.00,30.0,140,1.00,4.00,3.00,
H21_NC_Time_Point_0_CD4 T cells.fcs,93.0,7.00,13.0,3.00,25.0,68.0,1.00,12.0,130,2.00,3.00,1.00,
H22_NC_Time_Point_0_CD4 T cells.fcs,39.0,3.00,47.0,2.00,16.0,23.0,22.0,25.0,460,1.00,32.0,3.00,
H23_NC_Time_Point_0_CD4 T cells.fcs,45.0,10.0,6.00,2.00,11.0,34.0,0,6.00,148,1.00,9.00,1.00,
H24_NC_Time_Point_0_CD4 T cells.fcs,42.0,2.00,24.0,6.00,6.00,36.0,8.00,16.0,48.0,0,2.00,1.00,
H25_NC_Time_Point_0_CD4 T cells.fcs,21.0,1.00,8.00,3.00,6.00,15.0,1.00,7.00,14.0,0,3.00,1.00,
H26_NC_Time_Point_0_CD4 T cells.fcs,72.0,4.00,20.0,3.00,17.0,55.0,1.00,19.0,458,8.00,16.0,5.00,
H28_NC_Time_Point_0_CD4 T cells.fcs,23.0,2.00,10.0,0,0,23.0,0,10.0,22.0,1.00,2.00,0,
H29_NC_Time_Point_0_CD4 T cells.fcs,14.0,4.00,10.0,1.00,7.00,7.00,2.00,8.00,91.0,2.00,9.00,0,
H30_NC_Time_Point_0_CD4 T cells.fcs,136,10.0,30.0,5.00,33.0,103,2.00,28.0,170,1.00,1.00,0,
H31_NC_Time_Point_0_CD4 T cells.fcs,40.0,2.00,42.0,6.00,9.00,31.0,14.0,28.0,58.0,2.00,7.00,1.00,
H32_NC_Time_Point_0_CD4 T cells.fcs,15.0,4.00,2.00,3.00,8.00,7.00,0,2.00,48.0,5.00,0,0,
H33_NC_Time_Point_0_CD4 T cells.fcs,21.0,9.00,69.0,6.00,9.00,12.0,29.0,40.0,159,23.0,10.0,4.00,
H34_NC_Time_Point_0_CD4 T cells.fcs,30.0,0,29.0,0,12.0,18.0,5.00,24.0,56.0,0,21.0,0,
H35_NC_Time_Point_0_CD4 T cells.fcs,12.0,0,10.0,1.00,4.00,8.00,1.00,9.00,102,1.00,5.00,1.00,
H36_NC_Time_Point_0_CD4 T cells.fcs,6.00,1.00,19.0,1.00,2.00,4.00,7.00,12.0,39.0,1.00,12.0,0,
H38_NC_Time_Point_0_CD4 T cells.fcs,25.0,5.00,15.0,0,3.00,22.0,3.00,12.0,57.0,4.00,7.00,0,
H39_NC_Time_Point_0_CD4 T cells.fcs,31.0,3.00,21.0,2.00,4.00,27.0,3.00,18.0,52.0,1.00,5.00,0,
H40_NC_Time_Point_0_CD4 T cells.fcs,16.0,2.00,7.00,1.00,1.00,15.0,3.00,4.00,34.0,0,8.00,1.00,
H41_NC_Time_Point_0_CD4 T cells.fcs,9.00,0,6.00,0,4.00,5.00,1.00,5.00,45.0,0,5.00,0,
H42_NC_Time_Point_0_CD4 T cells.fcs,3.00,0,11.0,2.00,1.00,2.00,6.00,5.00,43.0,1.00,0,1.00,
H22_PC_Time_Point_0_CD4 T cells.fcs,28.0,0,6.00,1.00,26.0,2.00,5.00,1.00,284,4.00,26.0,3.00,
H24_PC_Time_Point_0_CD4 T cells.fcs,124,9.00,70.0,12.0,116,8.00,63.0,7.00,668,18.0,67.0,24.0,
H31_PC_Time_Point_0_CD4 T cells.fcs,298,24.0,51.0,5.00,176,122,25.0,26.0,768,25.0,37.0,18.0,
H36_PC_Time_Point_0_CD4 T cells.fcs,462,18.0,211,8.00,393,69.0,180,31.0,2739,23.0,665,30.0,
H02_HBsAg_Time_Point_0_CD4 T cells.fcs,30.0,10.0,33.0,4.00,16.0,14.0,11.0,22.0,248,17.0,30.0,8.00,
H03_HBsAg_Time_Point_0_CD4 T cells.fcs,14.0,3.00,14.0,3.00,2.00,12.0,0,14.0,208,5.00,18.0,0,
H04_HBsAg_Time_Point_0_CD4 T cells.fcs,20.0,13.0,15.0,3.00,7.00,13.0,8.00,7.00,205,7.00,7.00,3.00,
H06_HBsAg_Time_Point_0_CD4 T cells.fcs,29.0,7.00,19.0,3.00,4.00,25.0,4.00,15.0,76.0,2.00,7.00,2.00,
H07_HBsAg_Time_Point_0_CD4 T cells.fcs,41.0,7.00,35.0,10.0,10.0,31.0,4.00,31.0,58.0,2.00,11.0,0,
H08_HBsAg_Time_Point_0_CD4 T cells.fcs,18.0,0,64.0,3.00,3.00,15.0,10.0,54.0,212,3.00,26.0,1.00,
H10_HBsAg_Time_Point_0_CD4 T cells.fcs,40.0,3.00,141,17.0,12.0,28.0,30.0,111,127,4.00,25.0,5.00,
H11_HBsAg_Time_Point_0_CD4 T cells.fcs,30.0,4.00,23.0,4.00,11.0,19.0,6.00,17.0,110,2.00,9.00,1.00,
H13_HBsAg_Time_Point_0_CD4 T cells.fcs,26.0,11.0,110,12.0,3.00,23.0,7.00,103,201,7.00,35.0,3.00,
H14_HBsAg_Time_Point_0_CD4 T cells.fcs,6.00,0,70.0,6.00,4.00,2.00,20.0,50.0,69.0,3.00,19.0,3.00,
H17_HBsAg_Time_Point_0_CD4 T cells.fcs,60.0,5.00,60.0,7.00,9.00,51.0,21.0,39.0,55.0,0,22.0,3.00,
H18_HBsAg_Time_Point_0_CD4 T cells.fcs,41.0,5.00,54.0,6.00,10.0,31.0,11.0,43.0,77.0,0,17.0,1.00,
H19_HBsAg_Time_Point_0_CD4 T cells.fcs,45.0,6.00,33.0,0,11.0,34.0,9.00,24.0,142,12.0,8.00,0,
H20_HBsAg_Time_Point_0_CD4 T cells.fcs,8.00,4.00,7.00,1.00,2.00,6.00,2.00,5.00,76.0,3.00,5.00,4.00,
H21_HBsAg_Time_Point_0_CD4 T cells.fcs,83.0,5.00,34.0,2.00,13.0,70.0,6.00,28.0,118,4.00,5.00,0,
