,CD137neg_CD154pos_memory_TH | Count,CD137neg_CD154pos_memory_TFH | Count,CD137neg_CD154pos_naive_TH | Count,CD137neg_CD154pos_naive_TFH | Count,CD137neg_CD154pos_CD127neg_CD25neg_memory_TH | Count,CD137neg_CD154pos_CD127pos_CD25neg_memory_TH | Count,CD137neg_CD154pos_CD127neg_CD25neg_naive_TH | Count,CD137neg_CD154pos_CD127pos_CD25neg_naive_TH | Count,CD137neg_CD154pos_CD45RAneg_Treg | Count,CD137neg_CD154pos_CD45RAneg_TFR | Count,CD137neg_CD154pos_CD45RApos_Treg | Count,CD137neg_CD154pos_CD45RApos_TFR | Count,
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,,,,,,,,,,,,,
H02_NC_Time_Point_0_CD4 T cells.fcs,39.0,16.0,84.0,0,10.0,29.0,17.0,67.0,35.0,14.0,11.0,0,
H03_NC_Time_Point_0_CD4 T cells.fcs,27.0,7.00,87.0,3.00,1.00,26.0,22.0,65.0,24.0,7.00,4.00,1.00,
H04_NC_Time_Point_0_CD4 T cells.fcs,43.0,18.0,26.0,5.00,8.00,35.0,7.00,19.0,16.0,5.00,0,0,
H06_NC_Time_Point_0_CD4 T cells.fcs,37.0,21.0,15.0,3.00,1.00,36.0,3.00,12.0,9.00,6.00,0,0,
H07_NC_Time_Point_0_CD4 T cells.fcs,23.0,3.00,47.0,3.00,6.00,17.0,10.0,37.0,5.00,0,5.00,0,
H08_NC_Time_Point_0_CD4 T cells.fcs,2.00,3.00,22.0,3.00,1.00,1.00,4.00,18.0,0,1.00,2.00,0,
H10_NC_Time_Point_0_CD4 T cells.fcs,9.00,3.00,31.0,1.00,2.00,7.00,3.00,28.0,7.00,1.00,2.00,0,
H11_NC_Time_Point_0_CD4 T cells.fcs,9.00,2.00,21.0,0,1.00,8.00,3.00,18.0,7.00,1.00,1.00,0,
H13_NC_Time_Point_0_CD4 T cells.fcs,26.0,9.00,36.0,9.00,0,26.0,2.00,34.0,6.00,1.00,2.00,0,
H14_NC_Time_Point_0_CD4 T cells.fcs,5.00,2.00,35.0,0,0,5.00,5.00,30.0,0,0,4.00,0,
H17_NC_Time_Point_0_CD4 T cells.fcs,21.0,4.00,20.0,0,1.00,20.0,5.00,15.0,2.00,0,1.00,0,
H18_NC_Time_Point_0_CD4 T cells.fcs,3.00,0,8.00,0,0,3.00,1.00,7.00,1.00,0,1.00,0,
H19_NC_Time_Point_0_CD4 T cells.fcs,3.00,0,2.00,0,0,3.00,0,2.00,3.00,0,0,0,
H20_NC_Time_Point_0_CD4 T cells.fcs,2.00,1.00,34.0,1.00,0,2.00,3.00,31.0,3.00,0,2.00,0,
H21_NC_Time_Point_0_CD4 T cells.fcs,7.00,0,23.0,1.00,1.00,6.00,5.00,18.0,0,1.00,1.00,0,
H22_NC_Time_Point_0_CD4 T cells.fcs,19.0,3.00,46.0,1.00,2.00,17.0,24.0,22.0,17.0,2.00,21.0,1.00,
H23_NC_Time_Point_0_CD4 T cells.fcs,18.0,7.00,17.0,1.00,4.00,14.0,2.00,15.0,5.00,1.00,2.00,0,
H24_NC_Time_Point_0_CD4 T cells.fcs,6.00,5.00,18.0,0,0,6.00,4.00,14.0,4.00,0,0,0,
H25_NC_Time_Point_0_CD4 T cells.fcs,3.00,2.00,10.0,1.00,1.00,2.00,4.00,6.00,1.00,0,2.00,0,
H26_NC_Time_Point_0_CD4 T cells.fcs,65.0,13.0,22.0,2.00,4.00,61.0,2.00,20.0,42.0,9.00,8.00,1.00,
H28_NC_Time_Point_0_CD4 T cells.fcs,11.0,2.00,14.0,0,0,11.0,4.00,10.0,3.00,0,0,0,
H29_NC_Time_Point_0_CD4 T cells.fcs,4.00,2.00,7.00,2.00,1.00,3.00,4.00,3.00,4.00,0,2.00,0,
H30_NC_Time_Point_0_CD4 T cells.fcs,37.0,14.0,35.0,1.00,0,37.0,2.00,33.0,0,0,0,0,
H31_NC_Time_Point_0_CD4 T cells.fcs,19.0,2.00,18.0,3.00,2.00,17.0,1.00,17.0,1.00,0,1.00,1.00,
H32_NC_Time_Point_0_CD4 T cells.fcs,43.0,11.0,10.0,1.00,1.00,42.0,2.00,8.00,8.00,5.00,0,0,
H33_NC_Time_Point_0_CD4 T cells.fcs,49.0,21.0,33.0,2.00,3.00,46.0,6.00,27.0,13.0,12.0,3.00,1.00,
H34_NC_Time_Point_0_CD4 T cells.fcs,7.00,1.00,35.0,2.00,0,7.00,13.0,22.0,0,0,2.00,0,
H35_NC_Time_Point_0_CD4 T cells.fcs,15.0,7.00,45.0,2.00,1.00,14.0,10.0,35.0,9.00,3.00,4.00,0,
H36_NC_Time_Point_0_CD4 T cells.fcs,16.0,3.00,27.0,0,3.00,13.0,2.00,25.0,2.00,0,0,0,
H38_NC_Time_Point_0_CD4 T cells.fcs,14.0,3.00,21.0,1.00,1.00,13.0,7.00,14.0,7.00,1.00,2.00,0,
H39_NC_Time_Point_0_CD4 T cells.fcs,5.00,1.00,25.0,0,0,5.00,11.0,14.0,1.00,1.00,0,0,
H40_NC_Time_Point_0_CD4 T cells.fcs,28.0,2.00,21.0,1.00,2.00,26.0,3.00,18.0,10.0,0,3.00,0,
H41_NC_Time_Point_0_CD4 T cells.fcs,3.00,1.00,11.0,0,1.00,2.00,2.00,9.00,0,0,4.00,0,
H42_NC_Time_Point_0_CD4 T cells.fcs,29.0,8.00,17.0,0,6.00,23.0,5.00,12.0,29.0,4.00,2.00,1.00,
H22_PC_Time_Point_0_CD4 T cells.fcs,6689,3072,64439,1408,3071,3678,31847,33074,2035,884,6292,522,
H24_PC_Time_Point_0_CD4 T cells.fcs,29411,8975,89642,3723,17683,11736,65286,24364,2695,533,4634,474,
H31_PC_Time_Point_0_CD4 T cells.fcs,34044,6133,79227,2071,11287,22757,38889,40338,5025,522,3840,250,
H36_PC_Time_Point_0_CD4 T cells.fcs,36855,8514,200699,4496,16675,20180,97607,103092,9801,1982,18245,1444,
H02_HBsAg_Time_Point_0_CD4 T cells.fcs,74.0,45.0,87.0,7.00,9.00,65.0,20.0,69.0,60.0,27.0,11.0,4.00,
H03_HBsAg_Time_Point_0_CD4 T cells.fcs,72.0,13.0,86.0,5.00,6.00,66.0,8.00,78.0,40.0,6.00,21.0,2.00,
H04_HBsAg_Time_Point_0_CD4 T cells.fcs,121,27.0,31.0,7.00,16.0,105,4.00,27.0,30.0,9.00,2.00,2.00,
H06_HBsAg_Time_Point_0_CD4 T cells.fcs,75.0,27.0,52.0,8.00,2.00,73.0,5.00,47.0,11.0,8.00,5.00,2.00,
H07_HBsAg_Time_Point_0_CD4 T cells.fcs,22.0,11.0,73.0,4.00,2.00,20.0,13.0,60.0,7.00,3.00,4.00,2.00,
H08_HBsAg_Time_Point_0_CD4 T cells.fcs,132,22.0,112,6.00,8.00,124,24.0,88.0,18.0,3.00,23.0,2.00,
H10_HBsAg_Time_Point_0_CD4 T cells.fcs,49.0,12.0,151,8.00,4.00,45.0,15.0,136,20.0,2.00,12.0,1.00,
H11_HBsAg_Time_Point_0_CD4 T cells.fcs,78.0,10.0,125,5.00,7.00,71.0,18.0,107,37.0,4.00,10.0,2.00,
H13_HBsAg_Time_Point_0_CD4 T cells.fcs,109,41.0,105,16.0,6.00,103,8.00,97.0,20.0,13.0,5.00,1.00,
H14_HBsAg_Time_Point_0_CD4 T cells.fcs,41.0,17.0,130,4.00,4.00,37.0,34.0,96.0,12.0,1.00,35.0,2.00,
H17_HBsAg_Time_Point_0_CD4 T cells.fcs,61.0,13.0,98.0,6.00,3.00,58.0,18.0,80.0,7.00,0,1.00,0,
H18_HBsAg_Time_Point_0_CD4 T cells.fcs,32.0,14.0,94.0,6.00,2.00,30.0,15.0,79.0,1.00,2.00,11.0,0,
H19_HBsAg_Time_Point_0_CD4 T cells.fcs,82.0,15.0,54.0,3.00,4.00,78.0,12.0,42.0,21.0,4.00,10.0,0,
H20_HBsAg_Time_Point_0_CD4 T cells.fcs,93.0,22.0,129,7.00,5.00,88.0,15.0,114,14.0,4.00,6.00,2.00,
H21_HBsAg_Time_Point_0_CD4 T cells.fcs,107,20.0,153,4.00,4.00,103,26.0,127,19.0,5.00,6.00,2.00,
H22_HBsAg_Time_Point_0_CD4 T cells.fcs,28.0,8.00,153,3.00,4.00,24.0,19.0,135,24.0,2.00,30.0,3.00,
