,CD4,Treg,CD45RAneg_Treg,CD45RApos_Treg,CD137neg_CD45RAneg_Treg,CD137pos_CD45RAneg_Treg,CD137neg_CD45RApos_Treg,CD137pos_CD45RApos_Treg,CD137neg_CD45RAneg_Treg_CD137_MFI,CD137pos_CD45RAneg_Treg_CD137_MFI,CD137neg_CD45RAneg_Treg_CD25_MFI,CD137pos_CD45RAneg_Treg_CD25_MFI,CD137neg_CD45RAneg_Treg_CD127_MFI,CD137pos_CD45RAneg_Treg_CD127_MFI,CD137neg_CD45RAneg_Treg_CD154_MFI,CD137pos_CD45RAneg_Treg_CD154_MFI,
Compensation Controls_CD3 Alexa Fluor 430 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD4 PerCP-Cy5-5 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
"Compensation Controls_CD8,2f,Viability APC-Cy7 Stained Control.fcs",50000,,,,,,,,,,,,,,,,
Compensation Controls_CD25 Pacific Blue Stained Control.fcs,49500,,,,,,,,,,,,,,,,
Compensation Controls_CD45RA FITC Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD127 BV786 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD137 PE Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CD154 APC Stained Control.fcs,50000,,,,,,,,,,,,,,,,
Compensation Controls_CXCR5 PE-Cy7 Stained Control.fcs,50000,,,,,,,,,,,,,,,,
H02_NC_Time_Point_0_CD4 T cells.fcs,5.34E5,34170,14690,19480,11188,3356,18819,616,420,4869,3592,6136,1491,1634,184,220,
H02_HBsAg_Time_Point_0_CD4 T cells.fcs,6.76E5,41946,17520,24426,12764,4592,23181,1180,458,5185,3610,6297,1498,1616,192,232,
H03_NC_Time_Point_0_CD4 T cells.fcs,4.25E5,31787,18368,13419,10959,7231,12355,1006,452,6421,3521,6248,1749,2039,202,267,
H03_HBsAg_Time_Point_0_CD4 T cells.fcs,5.11E5,37476,21316,16160,11757,9343,14323,1752,481,6753,3565,6056,1749,2035,203,286,
H04_NC_Time_Point_0_CD4 T cells.fcs,399824,25214,20182,5032,15424,4524,4875,149,411,4535,4218,7029,1236,1481,165,206,
H04_HBsAg_Time_Point_0_CD4 T cells.fcs,4.08E5,25055,20117,4938,14672,5219,4700,223,458,4931,4326,7486,1271,1546,175,215,
H06_NC_Time_Point_0_CD4 T cells.fcs,4.37E5,20457,14751,5706,9132,5459,5381,310,426,5834,3739,6265,1698,1929,204,266,
H06_HBsAg_Time_Point_0_CD4 T cells.fcs,4.80E5,22529,15487,7042,9410,5889,6045,974,492,5898,3757,6232,1688,1887,199,256,
H07_NC_Time_Point_0_CD4 T cells.fcs,4.60E5,22532,11647,10885,9673,1881,10742,134,277,4733,3610,6955,1571,1831,200,233,
H07_HBsAg_Time_Point_0_CD4 T cells.fcs,391874,18483,9225,9258,7690,1469,9058,186,265,4716,3610,6549,1623,1983,182,207,
